Dossier;Adresse;Nature;Relatif à;Etat;EUR;co_co;Dépôt;Recev?;RenvComm;1erAvisCE;DerAvisCE;1erRapp;DerRapp;RappCommPrev;RappComm;Comm1;CommLast;SeanPub1;Vote1;Vote2;DispVote;1erAmdtGvt;DerAmdtGvt;1erAmdtComm;DerAmdtComm;AvisCP;Publication;NbrAut;Auteurs;NbrComm;Comm;NbrPres;Pressentie;NbrRapp;Rapporteur;NbrAjPPGvt;AjAvisCHD;AjAvisCE;AjAmdtGvt;AjAmdtComm;NbrComm2;cmt_commission;cmt_commission_pressentie
7420;https://www.chd.lu/fr/dossier/7420;PL;.modifiant la loi modifiée du 7 août 1961 relative à la création d'un fonds d'urbanisation et d'aménagement du plateau de Kirchberg;PUB_JO;;X;04.03.19;;07.03.19;08.05.19;10.10.19;21.06.19;;17.10.19;18.10.19;20.06.19;17.10.19;23.10.19;23.10.19;;15.11.19;;;27.06.19;;;10.12.19;1;F.Bausch (Min. Mobilité & Travaux publics);1;MOBTP;1;=;1;C.Back;;;2;;1;2;C. Mobilité & Travaux publics;C. Mobilité & Travaux publics
7450;https://www.chd.lu/fr/dossier/7450;PL;".concernant le budget des recettes et des dépenses de l'Etat pour l'exercice 2019 et modifiant : ¯1° le Code de la sécurité sociale ;¯2° le Code du travail ;¯3° la loi générale des impôts modifiée du 22 mai 1931 (« Abgabenordnung »)¯4° la loi modifiée du 30 juin 1947 portant organisation du Corps diplomatique ;¯5° la loi modifiée du 4 décembre 1967 concernant l'impôt sur le revenu ;¯6° la loi modifiée du 12 février 1979 concernant la taxe sur la valeur ajoutée ;¯7° la loi modifiée du 10 décembre 1998 portant création de l'établissement public dénommé « Fonds d'assainissement de la Cité Syrdall » ;¯8° la loi modifiée du 8 juin 1999 sur le budget la comptabilité et la trésorerie de l'Etat ; ¯9° la loi modifiée du 24 décembre 1999 concernant le budget des recettes et des dépenses de l'Etat pour l'exercice 2000 ; ¯10° la loi modifiée du 22 décembre 2006 concernant le budget des recettes et des dépenses de l'Etat pour l'exercice 2007 ;¯11° la loi modifiée du 14 décembre 2016 portant création d'un Fonds de dotation globale des communes";PUB_JO;;X;05.03.19;;07.03.19;27.03.19;08.04.19;14.01.19;;17.04.19;17.04.19;13.03.19;17.04.19;;25.04.19;;29.04.19;;;29.03.19;;;26.04.19;1;P.Gramegna (Min. Finances);1;FI;1;=;1;A.Bauler;;5;2;;1;2;C. Finances & Budget;C. Finances & Budget
7451;https://www.chd.lu/fr/dossier/7451;PL;.relatif à la programmation financière pluriannuelle pour la période 2018 - 2022;PUB_JO;;X;05.03.19;;07.03.19;27.03.19;;07.03.19;;17.04.19;17.04.19;13.03.19;17.04.19;23.04.19;25.04.19;;29.04.19;;;;;;26.04.19;1;P.Gramegna (Min. Finances);1;FI;1;=;1;A.Bauler;;4;1;;;2;C. Finances & Budget;C. Finances & Budget
7421;https://www.chd.lu/fr/dossier/7421;PL;".déterminant les modalités d'accès des ressortissants britanniques dans le cadre du retrait du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord de l'Union européenne au : ¯1° revenu d'inclusion sociale ;¯2° revenu pour personnes gravement handicapées";PUB_JO;;X;05.03.19;;07.03.19;05.03.19;;;;20.03.19;20.03.19;20.03.19;20.03.19;26.03.19;26.03.19;;10.04.19;;;;;;11.04.19;1;C.Cahen (Min. Famille & Intégration);1;FAIN;1;=;0;;;1;1;;;1;C. Famille & Intégration;C. Famille & Intégration
7422;https://www.chd.lu/fr/dossier/7422;PRREG;.sur la vérification des pouvoirs relative au Parlement européen;PUB_JO;;X;07.03.19;;07.03.19;;;15.03.19;;;26.03.19;12.03.19;25.03.19;25.04.19;08.05.19;;;;;;;;24.05.19;6;A.Bodry|M.Hansen|E.Berger|G.Gibéryen|J.Lorsché|D.Wagner;1;REGL;;;1;A.Bodry;;;;;;2;C. Règlement;
7423;https://www.chd.lu/fr/dossier/7423;PL;.concernant le reclassement partiel de la voirie et la reprise par l'Etat d'une série de chemins vicinaux et portant modification de l'article 6bis de la loi modifiée du 16 août 1967 ayant pour objet la création d'une grande voirie de communication et d'un fonds des routes;PUB_JO;;X;19.03.19;;21.03.19;03.07.19;28.09.21;23.01.20;;18.11.21;19.11.21;23.01.20;18.11.21;30.11.21;30.11.21;;07.12.21;;;30.01.20;22.06.21;;17.12.21;1;F.Bausch (Min. Mobilité & Travaux publics);1;MOBTP;1;=;1;C.Back;;;3;;2;2;C. Mobilité & Travaux publics;C. Mobilité & Travaux publics
7424;https://www.chd.lu/fr/dossier/7424;PL;".portant création d'une plateforme commune de¯transmission électronique sécurisée et modification :¯1° du Code de procédure pénale ;¯2° de la loi modifiée du 5 juillet 2016 portant réorganisation du Service de renseignement de l'État";COMM;;X;19.03.19;;21.03.19;11.12.19;11.03.25;08.05.19;06.06.24;;;08.05.19;27.03.25;;;;;;;11.06.24;15.10.24;;;1;F.Braz (Min. Justice);1;J;1;=;1;L.Mosar;;;3;;2;2;C. Justice;C. Justice
7425;https://www.chd.lu/fr/dossier/7425;PL;".sur les armes et munitions et portant : 1° transposition de la directive (UE) 2021/555 du Parlement européen et du Conseil du 24 mars 2021 relative au contrôle de l'acquisition et de la détention d'armes ; 2° modification du Code pénal ; 3° abrogation de la loi du 20 avril 1881 concernant le transport et le commerce des matières explosives";PUB_JO;OUI;X;19.03.19;;21.03.19;15.07.19;07.12.21;22.05.19;;12.01.22;12.01.22;08.05.19;12.01.22;20.01.22;20.01.22;;01.02.22;;;28.05.20;28.10.21;;03.02.22;1;F.Braz (Min. Justice);1;J;1;=;1;S.Empain;;3;4;;3;2;C. Justice;C. Justice
7426;https://www.chd.lu/fr/dossier/7426;PL;".relative à des mesures à prendre en relation avec le secteur financier en cas de retrait du Royaume-Uni de Grande-Bretagne et d'Irlande du Nord de l'Union européenne et modifiant :¯1° la loi modifiée du 17 décembre 2010 concernant les organismes de placement collectif ; ¯2° la loi modifiée du 13 février 2007 relative aux fonds d'investissement spécialisés";PUB_JO;;X;20.03.19;;;27.03.19;;26.03.19;;;27.03.19;26.03.19;27.03.19;28.03.19;28.03.19;;10.04.19;;;;;;11.04.19;1;P.Gramegna (Min. Finances);0;;1;FI;1;A.Bauler;;1;1;;;2;;C. Finances & Budget
7427;https://www.chd.lu/fr/dossier/7427;PL;.portant modification de la loi modifiée du 14 août 2000 relative au commerce électronique;PUB_JO;;X;26.03.19;;03.04.19;25.09.19;16.06.20;17.10.19;;02.07.20;03.07.20;17.10.19;02.07.20;07.07.20;07.07.20;;10.07.20;;;27.11.19;04.03.20;;28.07.20;1;E.Schneider (Min. Économie);1;ECOPC;1;=;1;L.Mutsch;;5;4;;2;2;C. Economie Protection consommateurs & Espace;C. Economie Protection consommateurs & Espace
